change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Fpython-openstackclient~master~I4f5e05c8207e91f0da87b4bbd25f711d42016cbe,208732,https://review.opendev.org/208732,python-openstackclient,49:08.0,53:43.0,MERGED,Updated from global requirements,Updated from global requirements.1,1,2,1.1,1.2,1.3,0,6,32,15.07638889,['test-requirements.txt'],FALSE,[]
openstack%2Fpuppet-glance~master~I2285a6308837632bfc361bfffcedc0d34ad6ae32,207805,https://review.opendev.org/207805,puppet-glance,57:37.0,53:37.0,MERGED,Update README.md for Glance,Update README.md for Glance,2,8,3,3,1,2,19,27,101.9333333,['README.md'],FALSE,[]
openstack%2Fbarbican~master~Ic4666d5d7d585ed8ce3f9163b737243f3de5a9be,208835,https://review.opendev.org/208835,barbican,29:27.0,44:14.0,MERGED,Imported Translations from Transifex,Imported Translations from Transifex,1,4,29,27,4,0,8,36,9.246388889,"['barbican/locale/barbican.pot', 'barbican/locale/zh_CN/LC_MESSAGES/barbican-log-error.po', 'barbican/locale/zh_CN/LC_MESSAGES/barbican-log-info.po', 'barbican/locale/zh_CN/LC_MESSAGES/barbican-log-warning.po']",FALSE,[]
openstack%2Foslo.messaging~feature%2Fzmq~I5d718c4a84dedc6654e13f9ca740a2deba5a7e43,209022,https://review.opendev.org/209022,oslo.messaging,14:34.0,38:18.0,MERGED,ZMQ: Minor matchmaker improvement,ZMQ: Minor matchmaker improvement,2,3,11,6,2,2,10,33,3.395555556,"['oslo_messaging/_drivers/zmq_driver/matchmaker/base.py', 'oslo_messaging/_drivers/zmq_driver/matchmaker/matchmaker_redis.py']",FALSE,[]
openstack%2Fhorizon~master~Ia40fde6d66720a03a531b516a6a53a2e86ec0d8f,158867,https://review.opendev.org/158867,horizon,04:58.0,27:10.0,MERGED,REST API to support create instance angular (Neutron).,REST API to support create instance angular (Neutron).,21,16,494,1,2,38,81,54,3858.37,"['horizon/static/horizon/js/angular/services/hz.api.neutron.js', 'horizon/templates/horizon/_scripts.html']",FALSE,[]
openstack%2Faodh~master~I3e00d6f375c226e54d28cf75b04ade263b7d8d8b,206459,https://review.opendev.org/206459,aodh,12:29.0,26:20.0,MERGED,Add alembic support for aodh,Add alembic support for aodh,8,5,362,5,6,7,36,28,173.2308333,"['aodh/storage/impl_sqlalchemy.py', 'aodh/storage/sqlalchemy/alembic/README', 'aodh/storage/sqlalchemy/alembic/alembic.ini', 'aodh/storage/sqlalchemy/alembic/env.py', 'aodh/storage/sqlalchemy/alembic/script.py.mako', 'aodh/storage/sqlalchemy/alembic/versions/12fe8fac9fe4_initial_base.py']",FALSE,[]
openstack%2Faodh~master~I491d49310acdefe83615232e1520df5b93280e3b,208205,https://review.opendev.org/208205,aodh,59:46.0,26:12.0,MERGED,Use mocked object to test log message,WIP: Use mocked object to test log message,2,4,16,38,1,1,10,42,49.44055556,['aodh/tests/test_coordination.py'],FALSE,[]
openstack%2Fcinder~master~Ieabc190a5d9a08e2c84e42140192e6ee3dac9433,203473,https://review.opendev.org/203473,cinder,23:33.0,25:23.0,MERGED,Clone CG,Clone CG,8,43,613,62,8,20,134,8,372.0305556,"['cinder/api/contrib/consistencygroups.py', 'cinder/consistencygroup/api.py', 'cinder/db/sqlalchemy/migrate_repo/versions/049_add_src_cg_id_column_to_consistencygroups.py', 'cinder/db/sqlalchemy/models.py', 'cinder/volume/api.py', 'cinder/volume/driver.py', 'cinder/volume/manager.py', 'cinder/volume/rpcapi.py']",FALSE,[]
openstack%2Fcookbook-openstack-orchestration~master~I6b3018317e6c4890d193aee6f6b5e101d901e687,208391,https://review.opendev.org/208391,cookbook-openstack-orchestration,31:19.0,09:53.0,MERGED,Make auth_uri attribute for ec2authtoken section,Make auth_uri attribute for ec2authtoken section,2,4,10,1,4,2,10,48,29.64277778,"['attributes/default.rb', 'recipes/common.rb', 'spec/spec_helper.rb', 'templates/default/heat.conf.erb']",FALSE,[]
openstack%2Fglance-specs~master~I364b23784f001dd1da0c1e148c34789fffd873aa,149467,https://review.opendev.org/149467,glance-specs,11:03.0,09:10.0,MERGED,Add HTTPS verification to glance-replicator,Add HTTPS verification to glance-replicator,3,19,180,0,1,16,35,43,4643.968611,['specs/kilo/migrate-replicator-to-requests.rst'],FALSE,[]
openstack%2Fkolla~master~I7dc47f4af316188803fe2fc654316540b8d23cf8,209001,https://review.opendev.org/209001,kolla,22:00.0,06:39.0,MERGED,Add missing vars for Keystone,Add missing vars for Keystone,1,3,5,0,1,0,7,29,3.744166667,['tools/genenv'],FALSE,[]
openstack%2Fironic-python-agent~master~I8e384f75e37643cf886128bc8e80239440fc0a61,208697,https://review.opendev.org/208697,ironic-python-agent,45:02.0,55:56.0,MERGED,Updated from global requirements,Updated from global requirements,2,3,2,2,1,0,8,32,14.18166667,['requirements.txt'],FALSE,[]
openstack%2Fnetworking-midonet~stable%2Fkilo~I41a99882db5259a40f56cf3b3bffa584ca21d154,198254,https://review.opendev.org/198254,networking-midonet,59:49.0,51:26.0,MERGED,PASS 2 unsupported ipv6 UT tests,PASS 2 unsupported ipv6 UT tests,11,8,15,4,2,8,78,32,774.8602778,"['midonet/neutron/tests/unit/test_midonet_plugin.py', 'midonet/neutron/tests/unit/test_midonet_plugin_v2.py']",FALSE,[]
openstack%2Fheat~master~I8bebbea37438f2f81b62efe2ab62f1123b331346,207002,https://review.opendev.org/207002,heat,37:54.0,40:08.0,MERGED,Import magnum python client directly,WIP: Import magnum python client directly,4,6,5,26,4,0,17,41,147.0372222,"['heat/engine/clients/os/magnum.py', 'heat/engine/resources/openstack/magnum/baymodel.py', 'heat/tests/magnum/__init__.py', 'heat/tests/magnum/test_magnum_baymodel.py']",FALSE,[]
openstack%2Fbifrost~master~I6c475416d6e16080d3581be42f749e3512bee384,208100,https://review.opendev.org/208100,bifrost,16:28.0,26:10.0,MERGED,Update enroll role README,Update enroll role README,2,4,4,4,1,0,11,25,86.16166667,['playbooks/roles/ironic-enroll-dynamic/README.md'],FALSE,[]
openstack%2Fbifrost~master~Ibef8637990b8439528b5ccd4ecfbd0bc42574c07,208576,https://review.opendev.org/208576,bifrost,54:40.0,25:58.0,MERGED,Make bifrost folders more friendly to vagrent,Make bifrost folders more friendly to vagrent,1,3,7,7,2,0,9,45,20.52166667,"['playbooks/roles/bifrost-prep-for-install/defaults/main.yml', 'playbooks/roles/ironic-install/defaults/main.yml']",FALSE,[]
openstack%2Fbifrost~master~I70d38b49f1813e1a7e7474143ad42bc7c845afd4,208580,https://review.opendev.org/208580,bifrost,07:41.0,25:19.0,MERGED,Remove CoreOS references in IPA image playbooks,Remove CoreOS references in IPA image playbooks,1,3,10,10,2,0,7,47,20.29388889,"['playbooks/roles/ironic-install/tasks/download_ipa_image.yml', 'playbooks/roles/ironic-install/tasks/main.yml']",FALSE,[]
openstack%2Fbifrost~master~Icce62d0b9256188dbc9b49d948c99bb0c469ae6b,208095,https://review.opendev.org/208095,bifrost,41:57.0,23:55.0,MERGED,Minor testing clean-up,Minor testing clean-up,2,3,6,6,3,0,11,22,86.69944444,"['playbooks/inventory/group_vars/all', 'playbooks/roles/bifrost-test-vm/README.md', 'playbooks/roles/bifrost-test-vm/tasks/main.yml']",FALSE,[]
openstack%2Fopenstack-manuals~master~I1885aab838a07889e4b83643a01e629f61d78551,208207,https://review.opendev.org/208207,openstack-manuals,24:10.0,19:53.0,MERGED,Add Identity API references to main page,Add Identity API references to main page,1,5,3,0,1,0,9,40,47.92861111,['www/index.html'],FALSE,[]
openstack%2Fmagnum~master~I91a1903cec38fdae08a75d5b364640dab41a9e72,207257,https://review.opendev.org/207257,magnum,55:55.0,19:26.0,MERGED,Set default node_count to 1.,Set default node_count to 1.,4,13,12,0,2,7,35,28,134.3919444,"['magnum/api/controllers/v1/bay.py', 'magnum/tests/unit/api/controllers/v1/test_bay.py']",FALSE,[]
openstack%2Frequirements~master~I02d7e29903d45d322c438ac34118c77a22d99d1c,208683,https://review.opendev.org/208683,requirements,26:19.0,18:26.0,MERGED,Bump oslo_db to 2.0,Bump oslo_db to 2.0,1,4,1,1,1,0,8,19,14.86861111,['global-requirements.txt'],FALSE,[]
openstack%2Fkeystone~master~I103cbf6a651582c97691c819fc379a858a37c9d9,208698,https://review.opendev.org/208698,keystone,45:10.0,15:38.0,MERGED,Updated from global requirements,Updated from global requirements,2,2,2,2,1,0,7,32,13.50777778,['test-requirements.txt'],FALSE,[]
openstack%2Fheat-translator~master~I975960fe412258039523e696e0f040aa02a96d71,207019,https://review.opendev.org/207019,heat-translator,29:19.0,14:14.0,MERGED,Modified to get closest flavor based on minimal/no inputs,Modified to get closest flavor based on minimal/no inputs,5,6,77,10,2,1,19,57,145.7486111,"['translator/hot/tosca/tests/test_tosca_compute.py', 'translator/hot/tosca/tosca_compute.py']",FALSE,[]
openstack%2Fpython-keystoneclient~master~Idb9238ef74d67dc2bccf5ca49ada78507dfdf373,208730,https://review.opendev.org/208730,python-keystoneclient,48:55.0,12:51.0,MERGED,Updated from global requirements,Updated from global requirements,1,2,1,1,1,0,6,32,13.39888889,['test-requirements.txt'],FALSE,[]
openstack%2Fironic-specs~master~Ieb50308820ec25aeba427aae1e97ab1a283457b6,206487,https://review.opendev.org/206487,ironic-specs,14:02.0,06:22.0,MERGED,Update neutron integration spec,Update neutron integration spec,3,7,8,0,1,3,17,31,170.8722222,['specs/liberty/ironic-ml2-integration.rst'],FALSE,[]
openstack%2Fheat-translator~master~I17326a6977b061e15c45988658fc52b06d03ed38,208800,https://review.opendev.org/208800,heat-translator,13:34.0,02:14.0,MERGED,Fix two typos on heat-translator documentation,Fix two typos on heat-translator documentation,1,5,2,2,1,0,9,46,8.811111111,['doc/source/usage.rst'],FALSE,[]
openstack%2Ftempest~master~Ibb28d3b90d18f04f6028e3866f16630394357cc0,207465,https://review.opendev.org/207465,tempest,00:19.0,54:22.0,MERGED,Remove openstack.common package,Remove openstack.common package,3,15,0,309,5,4,22,31,119.9008333,"['openstack-common.conf', 'tempest/openstack/__init__.py', 'tempest/openstack/common/__init__.py', 'tempest/openstack/common/_i18n.py', 'tempest/openstack/common/versionutils.py']",FALSE,[]
openstack%2Fheat~master~I89e5152ad32ea22a38da7ae410c47e1e7a8551a9,203190,https://review.opendev.org/203190,heat,00:06.0,53:51.0,MERGED,Add doc about db being offline to encryption utility,Add doc about db being offline to encryption utility,2,11,3,1,1,2,22,52,427.8958333,['heat/cmd/manage.py'],FALSE,[]
openstack%2Fdevstack~master~I733896681f7f6fe3bea0fdeeb8ffc9033d7fc761,208966,https://review.opendev.org/208966,devstack,24:42.0,50:47.0,MERGED,fix multinode guide,fix multinode guide,1,3,7,2,1,0,7,19,3.434722222,['doc/source/guides/multinode-lab.rst'],FALSE,[]
openstack%2Fdevstack-gate~master~Iebc8e1812d1441aba7c18d3e7c982b620b5198a0,192976,https://review.opendev.org/192976,devstack-gate,55:59.0,50:10.0,MERGED,Add option to setup netconsole to remote destination,Add option to setup netconsole to remote destination,1,5,60,0,2,3,9,52,1135.903056,"['devstack-vm-gate-wrap.sh', 'functions.sh']",FALSE,[]
openstack%2Ftempest~master~I557b888ca0fc3978699d96d1b02bbe60e58f8c2f,200819,https://review.opendev.org/200819,tempest,19:33.0,46:08.0,MERGED,Fix scenario test fails when port_vnic_type is set,Fix scenario test fails when port_vnic_type is set,4,11,9,1,1,15,68,50,578.4430556,['tempest/scenario/manager.py'],FALSE,[]
openstack%2Fceilometer~master~I077317533fd30865eea8a3f32e3c3a7f53fa6343,207409,https://review.opendev.org/207409,ceilometer,32:02.0,43:27.0,MERGED,[MongoDB] Refactor indexes for meter and resources,[MongoDB] Refactor indexes for meter and resources,2,9,29,11,1,0,11,50,122.1902778,['ceilometer/storage/impl_mongodb.py'],FALSE,[]
openstack%2Fheat~master~If7771db53df208f1f8b37f1b86f8fc0f324de701,207882,https://review.opendev.org/207882,heat,59:42.0,41:30.0,MERGED,Add show_resource function to Ceilometer resources (9),Add show_resource function to Ceilometer resources (5),3,9,50,0,3,0,19,54,96.69666667,"['heat/engine/resources/openstack/ceilometer/alarm.py', 'heat/tests/ceilometer/test_ceilometer_alarm.py', 'heat/tests/ceilometer/test_gnocchi_alarm.py']",FALSE,[]
openstack%2Fpuppet-nova~master~Ic5821aee3dca0915ca8976730254452eb86622c7,202215,https://review.opendev.org/202215,puppet-nova,52:43.0,30:20.0,MERGED,Add ability to set default baremetal filters,Add ability to set scheduler_use_baremetal_filters,4,8,52,29,2,6,25,50,475.6269444,"['manifests/scheduler/filter.pp', 'spec/classes/nova_scheduler_filter_spec.rb']",TRUE,[]
openstack%2Fnetworking-ovn~master~Id5ac1b52555842aa20cc4913728830c033d4785c,208798,https://review.opendev.org/208798,networking-ovn,57:42.0,14:06.0,MERGED,Adjust test-requierments change,Adjust test-requierments change,1,7,1,1,1,1,7,31,8.273333333,['test-requirements.txt'],FALSE,[]
