change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Ftripleo-heat-templates~master~I8137d61f2d4352d4d8055e93a30511cf1aeaa6b0,509157,https://review.opendev.org/509157,tripleo-heat-templates,01:41.0,41:33.0,MERGED,Add option for nova containers to log to stdout/stderr,Add option for nova containers to log to stdout/stderr.1,24,7,394,81,7.1,14,87,54,593.6644444,"['docker/services/nova-api.yaml', 'docker/services/nova-conductor.yaml', 'docker/services/nova-consoleauth.yaml', 'docker/services/nova-metadata.yaml', 'docker/services/nova-placement.yaml', 'docker/services/nova-scheduler.yaml', 'docker/services/nova-vnc-proxy.yaml']",FALSE,[]
openstack%2Ftripleo-heat-templates~master~If0daf6a0fd47cc1e9bb8c7bef6f8f702096e8152,515594,https://review.opendev.org/515594,tripleo-heat-templates,27:59.0,41:32.0,MERGED,glance logging: Fix description and use yaml anchor,glance logging: Fix description and use yaml anchor,1,5,7,9,1,0,11,51,24.22583333,['docker/services/logging/files/glance-api.yaml'],FALSE,[]
openstack%2Frequirements~master~I44090f82ec1a606fdb1ad403f6242da6bfc89cbd,514833,https://review.opendev.org/514833,requirements,55:38.0,41:22.0,MERGED,update constraint for oslo.serialization to new release 2.21.2,update constraint for oslo.serialization to new release 2.21.2,1,5,1,1,1,0,23,62,80.76222222,['upper-constraints.txt'],FALSE,[]
openstack%2Fpuppet-heat~stable%2Focata~Idb12a0979ce8f9d28eee903214148d43e6bc1f78,515888,https://review.opendev.org/515888,puppet-heat,35:23.0,29:57.0,MERGED,"[ocata] Add Puppet package to bindep, for module build","[ocata] Add Puppet package to bindep, for module build",1,2,1,0,1,0,6,54,8.909444444,['bindep.txt'],FALSE,[]
openstack%2Ftripleo-heat-templates~master~I81101d9ef4df2e6ece7c17025e2265489864a6f6,510411,https://review.opendev.org/510411,tripleo-heat-templates,07:04.0,29:23.0,MERGED,Add option for Glance API containers to log to stdout/stderr,Add option for Glance API containers to log to stdout/stderr,16,8,87,32,4,1,85,60,455.3719444,"['docker/services/glance-api.yaml', 'docker/services/logging/files/glance-api.yaml', 'docker/services/logging/stdout/glance-api.yaml', 'overcloud-resource-registry-puppet.j2.yaml']",FALSE,[]
openstack%2Fpuppet-neutron~stable%2Focata~If3df8a1ac65827d0dbdb84da2d0f544e541fe20b,515895,https://review.opendev.org/515895,puppet-neutron,37:20.0,55:03.0,MERGED,"[ocata] Add Puppet package to bindep, for module build","[ocata] Add Puppet package to bindep, for module build",1,2,1,0,1,0,7,54,8.295277778,['bindep.txt'],FALSE,[]
openstack%2Ftrove~stable%2Fpike~Ic55187b0d73d4c572d7f8332882b4f455a6177c8,514710,https://review.opendev.org/514710,trove,11:13.0,53:30.0,MERGED,Fix gate issues,Fix gate issues,3,6,6,5,3,1,52,15,85.70472222,"['.gitreview', 'integration/scripts/trovestack', 'tox.ini']",FALSE,[]
openstack%2Fnova~master~I054128a92e6a4a9034302f393620ec902fddfb0e,490807,https://review.opendev.org/490807,nova,33:12.0,45:09.0,MERGED,Complete dostring of live_migration related methods,Complete dostring of live_migration related methods,1,20,4,1,1,0,45,51,2035.199167,['nova/compute/manager.py'],FALSE,[]
openstack%2Finstack-undercloud~master~Ia4b015da432398d46878cff4ee58dd87f304e8b4,511238,https://review.opendev.org/511238,instack-undercloud,23:57.0,23:56.0,MERGED,Handle utf-8 when running python commands,Handle utf-8 when running python commands,4,7,22,4,2,9,36,41,397.9997222,"['instack_undercloud/tests/test_undercloud.py', 'instack_undercloud/undercloud.py']",FALSE,[]
openstack%2Frequirements~master~I80ef06a788630b18fb4dc9c4982034bb3e4eca6b,514826,https://review.opendev.org/514826,requirements,48:40.0,19:23.0,MERGED,update constraint for oslo.context to new release 2.19.2,update constraint for oslo.context to new release 2.19.2,2,4,1,1,1,0,21,56,78.51194444,['upper-constraints.txt'],FALSE,[]
