change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Fcharm-specs~master~I2b4735a949d7d228933d6340be17bd3ede98566d,508268,https://review.opendev.org/508268,charm-specs,38:25.0,26:48.0,ABANDONED,Specify the differnet modes the lb can run in,Specify the differnet modes the lb can run in.1,1,3,67,0,1.1,0.1,5,45,11176.80639,['specs/queens/approved/openstack-load-balancer.rst'],FALSE,[]
openstack%2Fcharm-specs~master~Ia6e2a7dba2f7fe270badd3fdb4984399f2049bba,508216,https://review.opendev.org/508216,charm-specs,15:03.0,26:08.0,ABANDONED,Charm lb spec should allow lb to server mulit eps,Charm lb spec should allow lb to server mulit eps,1,2,5,5,1,0,4,49,11179.18472,['specs/queens/approved/openstack-load-balancer.rst'],FALSE,[]
openstack%2Fcharm-odl-controller~master~I9002f6fd53c648d8402fbf19db400868dcd31fb5,520221,https://review.opendev.org/520221,charm-odl-controller,15:37.0,24:20.0,ABANDONED,Enable xenial-pike amulet test,Enable xenial-pike amulet test,2,3,622,176,31,0,11,30,10021.14528,"['hooks/charmhelpers/contrib/network/ip.py', 'hooks/charmhelpers/contrib/openstack/alternatives.py', 'hooks/charmhelpers/contrib/openstack/amulet/deployment.py', 'hooks/charmhelpers/contrib/openstack/amulet/utils.py', 'hooks/charmhelpers/contrib/openstack/context.py', 'hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh', 'hooks/charmhelpers/contrib/openstack/ha/utils.py', 'hooks/charmhelpers/contrib/openstack/neutron.py', 'hooks/charmhelpers/contrib/openstack/templates/ceph.conf', 'hooks/charmhelpers/contrib/openstack/templates/haproxy.cfg', 'hooks/charmhelpers/contrib/openstack/templates/section-oslo-cache', 'hooks/charmhelpers/contrib/openstack/templating.py', 'hooks/charmhelpers/contrib/openstack/utils.py', 'hooks/charmhelpers/contrib/storage/linux/ceph.py', 'hooks/charmhelpers/contrib/storage/linux/lvm.py', 'hooks/charmhelpers/contrib/storage/linux/utils.py', 'hooks/charmhelpers/core/hookenv.py', 'hooks/charmhelpers/core/host.py', 'hooks/charmhelpers/core/strutils.py', 'hooks/charmhelpers/core/unitdata.py', 'hooks/charmhelpers/fetch/snap.py', 'hooks/charmhelpers/fetch/ubuntu.py', 'tests/charmhelpers/contrib/openstack/amulet/deployment.py', 'tests/charmhelpers/contrib/openstack/amulet/utils.py', 'tests/charmhelpers/core/hookenv.py', 'tests/charmhelpers/core/host.py', 'tests/charmhelpers/core/strutils.py', 'tests/charmhelpers/core/unitdata.py', 'tests/gate-basic-artful-pike', 'tests/gate-basic-xenial-pike', 'tox.ini']",FALSE,[]
openstack%2Fcharm-nova-compute-proxy~master~Id807da7077ee9159492d080b75244b7b84d8e644,520220,https://review.opendev.org/520220,charm-nova-compute-proxy,09:57.0,24:12.0,ABANDONED,Enable xenial-pike amulet test,Enable xenial-pike amulet test,2,4,451,180,30,0,9,30,10021.2375,"['bin/charm_helpers_sync.py', 'hooks/charmhelpers/contrib/charmsupport/nrpe.py', 'hooks/charmhelpers/contrib/hahelpers/cluster.py', 'hooks/charmhelpers/contrib/hardening/audits/apache.py', 'hooks/charmhelpers/contrib/network/ip.py', 'hooks/charmhelpers/contrib/openstack/alternatives.py', 'hooks/charmhelpers/contrib/openstack/amulet/deployment.py', 'hooks/charmhelpers/contrib/openstack/amulet/utils.py', 'hooks/charmhelpers/contrib/openstack/context.py', 'hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh', 'hooks/charmhelpers/contrib/openstack/ha/utils.py', 'hooks/charmhelpers/contrib/openstack/neutron.py', 'hooks/charmhelpers/contrib/openstack/templates/ceph.conf', 'hooks/charmhelpers/contrib/openstack/templates/haproxy.cfg', 'hooks/charmhelpers/contrib/openstack/templates/section-oslo-cache', 'hooks/charmhelpers/contrib/openstack/templating.py', 'hooks/charmhelpers/contrib/openstack/utils.py', 'hooks/charmhelpers/contrib/storage/linux/ceph.py', 'hooks/charmhelpers/contrib/storage/linux/lvm.py', 'hooks/charmhelpers/contrib/storage/linux/utils.py', 'hooks/charmhelpers/core/hookenv.py', 'hooks/charmhelpers/core/host.py', 'hooks/charmhelpers/core/strutils.py', 'hooks/charmhelpers/core/unitdata.py', 'hooks/charmhelpers/fetch/snap.py', 'hooks/charmhelpers/fetch/ubuntu.py', 'tests/gate-basic-artful-pike', 'tests/gate-basic-trusty-liberty', 'tests/gate-basic-xenial-pike', 'tox.ini']",FALSE,[]
openstack%2Fcharm-openvswitch-odl~master~Iab971417e080ba503e17df15bac9fdf4b2e9e318,521383,https://review.opendev.org/521383,charm-openvswitch-odl,49:32.0,24:00.0,ABANDONED,Enable xenial-pike amulet test,Enable xenial-pike amulet test,1,4,1,1,2,0,6,30,9926.574444,"['src/tests/gate-basic-xenial-pike', 'src/tox.ini']",FALSE,[]
openstack%2Fcharm-ceilometer~master~Id7d8609eec916685ca327ace4b3cdfa5b06f5f60,521668,https://review.opendev.org/521668,charm-ceilometer,55:03.0,23:47.0,ABANDONED,Enable xenial-pike amulet test,Enable xenial-pike amulet test,1,3,677,184,33,0,8,30,9900.478889,"['charmhelpers/contrib/charmsupport/nrpe.py', 'charmhelpers/contrib/hahelpers/cluster.py', 'charmhelpers/contrib/hardening/audits/apache.py', 'charmhelpers/contrib/network/ip.py', 'charmhelpers/contrib/openstack/alternatives.py', 'charmhelpers/contrib/openstack/amulet/deployment.py', 'charmhelpers/contrib/openstack/amulet/utils.py', 'charmhelpers/contrib/openstack/context.py', 'charmhelpers/contrib/openstack/files/check_haproxy.sh', 'charmhelpers/contrib/openstack/ha/utils.py', 'charmhelpers/contrib/openstack/neutron.py', 'charmhelpers/contrib/openstack/templates/ceph.conf', 'charmhelpers/contrib/openstack/templates/haproxy.cfg', 'charmhelpers/contrib/openstack/templates/section-oslo-cache', 'charmhelpers/contrib/openstack/templating.py', 'charmhelpers/contrib/openstack/utils.py', 'charmhelpers/contrib/storage/linux/ceph.py', 'charmhelpers/contrib/storage/linux/lvm.py', 'charmhelpers/contrib/storage/linux/utils.py', 'charmhelpers/core/hookenv.py', 'charmhelpers/core/host.py', 'charmhelpers/core/strutils.py', 'charmhelpers/core/unitdata.py', 'charmhelpers/fetch/snap.py', 'charmhelpers/fetch/ubuntu.py', 'tests/charmhelpers/contrib/openstack/amulet/deployment.py', 'tests/charmhelpers/contrib/openstack/amulet/utils.py', 'tests/charmhelpers/core/hookenv.py', 'tests/charmhelpers/core/host.py', 'tests/charmhelpers/core/strutils.py', 'tests/charmhelpers/core/unitdata.py', 'tests/gate-basic-xenial-pike', 'tox.ini']",FALSE,[]
openstack%2Fcharm-designate~master~I08df9dbc185877ca82e6bf539b9f56391ead2f35,498806,https://review.opendev.org/498806,charm-designate,11:27.0,23:13.0,ABANDONED,Partial-Bug: 1704769,Partial-Bug: 1704769,1,3,50,10,7,0,9,20,11902.19611,"['src/README.md', 'src/config.yaml', 'src/layer.yaml', 'src/lib/charm/openstack/designate.py', 'src/metadata.yaml', 'src/reactive/designate_handlers.py', 'unit_tests/test_designate_handlers.py']",FALSE,[]
openstack%2Fcharm-keystone~master~I6bf80e3b23e8219ba6f8b293fb048c97bd75c8ae,444299,https://review.opendev.org/444299,charm-keystone,39:39.0,23:02.0,ABANDONED,"Related-Bug: 1671506 Configure federated authentication, SAML2 and OIDC",Related-Bug: 1671506,4,3,1312,2,1,8,18,20,16029.72306,['config.yaml'],FALSE,['config.yaml']
openstack%2Fcharm-openstack-dashboard~master~I558dc686715e787ae5d95678e1e015355d4f106d,493029,https://review.opendev.org/493029,charm-openstack-dashboard,43:39.0,22:42.0,ABANDONED,[stormmore] Add config option for exposing HAProxy stats interface,[stormmore] Add config option for exposing HAProxy stats interface,2,3,26,4,4,4,9,66,12332.65083,"['config.yaml', 'hooks/horizon_contexts.py', 'templates/haproxy.cfg', 'unit_tests/test_horizon_contexts.py']",FALSE,['config.yaml']
openstack%2Fcharm-neutron-api~master~Ic917e2937719998c934d1f9c85637df61e4699fb,498808,https://review.opendev.org/498808,charm-neutron-api,11:57.0,22:28.0,ABANDONED,Partial-Bug: 1704769,Partial-Bug: 1704769,1,4,94,8,12,7,9,20,11902.17528,"['README.md', 'hooks/external-dns-relation-broken', 'hooks/external-dns-relation-changed', 'hooks/external-dns-relation-departed', 'hooks/external-dns-relation-joined', 'hooks/neutron_api_context.py', 'hooks/neutron_api_hooks.py', 'hooks/neutron_api_utils.py', 'metadata.yaml', 'templates/mitaka/neutron.conf', 'templates/parts/section-designate', 'unit_tests/test_neutron_api_context.py']",FALSE,[]
openstack%2Fcharm-keystone~master~I982aa4f410bbcf24ab33dcc049ba07d5c0eceb75,486041,https://review.opendev.org/486041,charm-keystone,23:11.0,22:15.0,ABANDONED,Adds support for overriding policy.json in ocata,Adds support for overriding policy.json in ocata,3,3,18,1,3,0,15,48,12842.98444,"['config.yaml', 'hooks/keystone_context.py', 'templates/ocata/policy.json']",FALSE,['config.yaml']
openstack%2Fcharm-interface-service-control~master~I1eca0a509601de536c5c5f5879f8dc6fd8b4e6d7,478376,https://review.opendev.org/478376,charm-interface-service-control,33:21.0,21:58.0,ABANDONED,Replaced uuid.uuid4 with uuidutils.generate_uuid,Replaced uuid.uuid4 with uuidutils.generate_uuid(),3,3,3,3,1,0,12,50,13398.81028,['requires.py'],FALSE,[]
openstack%2Fcharm-ceph-osd~master~I9f2dfd4c2ceda0e6e486792a39cbcdcd67d4a8dd,390985,https://review.opendev.org/390985,charm-ceph-osd,40:50.0,21:27.0,ABANDONED,Add support of an optional journal zapping config.,"Add new config to the charm that make zapping journals optional. config: ""zap-journals"" type: boolean Closes-Bug: #1637003",3,6,49,2,3,0,21,122,19260.67694,"['config.yaml', 'hooks/ceph_hooks.py', 'unit_tests/test_ceph_hooks.py']",FALSE,['config.yaml']
openstack%2Fcharm-neutron-api~master~Icbc0dfea9ebc06c05616e2d1c6a85f93af4e4428,382566,https://review.opendev.org/382566,charm-neutron-api,51:02.0,20:53.0,ABANDONED,Allow using a newer etcd package than in the Ubuntu archive,Allow using a newer etcd package than in the Ubuntu archive,1,3,21,0,2,1,9,59,19770.4975,"['config.yaml', 'hooks/neutron_api_hooks.py']",FALSE,['config.yaml']
openstack%2Fcharm-cloudkitty~master~I879bf7a4b35317d349259c972f3876e967cc5f06,410779,https://review.opendev.org/410779,charm-cloudkitty,24:42.0,15:52.0,ABANDONED,Initialize repository,[WIP] Initialize repository,17,5,1535,0,13,2,56,27,18092.85278,"['README.md', 'copyright', 'src/README.md', 'src/config.yaml', 'src/copyright', 'src/icon.svg', 'src/layer.yaml', 'src/lib/charm/openstack/__init__.py', 'src/lib/charm/openstack/cloudkitty.py', 'src/metadata.yaml', 'src/reactive/cloudkitty_handlers.py', 'src/templates/newton/cloudkitty.conf', 'src/templates/parts/section-ks-auth']",FALSE,[]
openstack%2Fcharm-murano~master~I65903fd872c742cdd03383a043bba19bc5219cf5,479146,https://review.opendev.org/479146,charm-murano,05:56.0,15:18.0,ABANDONED,Cleanup config.yaml.,Cleanup config.yaml.,2,5,19,10,1,0,10,20,13350.15611,['src/config.yaml'],FALSE,[]
openstack%2Fcharm-rabbitmq-server~master~I7f26e1ec8fd33812edbe368fd8a81b21cad37667,482887,https://review.opendev.org/482887,charm-rabbitmq-server,13:17.0,13:44.0,ABANDONED,[WIP] Update cluster name on removal of leader unit,[WIP] Update cluster name on removal of leader unit,1,3,101,20,1,0,5,51,13057.0075,['tests/basic_deployment.py'],FALSE,[]
openstack%2Fpython-dracclient~master~I01528a3c52ce08326db1e451af19e29b8f2a40a9,628127,https://review.opendev.org/628127,python-dracclient,16:01.0,05:35.0,ABANDONED,Updated comments and removed comments for affected methods,Updated comments and removed comments for affected methods,1,2,8,33,3,0,4,58,96.82611111,"['dracclient/client.py', 'dracclient/resources/bios.py', 'dracclient/resources/raid.py']",FALSE,[]
openstack%2Fopenstack-ansible-ops~master~I907d57ffc841e98412ccce95713cb18c4a02c7d3,617990,https://review.opendev.org/617990,openstack-ansible-ops,52:53.0,48:02.0,ABANDONED,Destroy VMs instead of shutting down during save,Destroy VMs instead of shutting down during save,1,3,2,2,1,0,7,48,1289.919167,['multi-node-aio/playbooks/save-vms.yml'],FALSE,['multi-node-aio/playbooks/save-vms.yml']
openstack%2Ftempest~master~I8ef691da35aa7ad570d78b1f795f622443665fbc,628875,https://review.opendev.org/628875,tempest,43:46.0,02:34.0,ABANDONED,[WIP] Add tempest last command,[WIP] Add tempest last command,1,11,50,0,2,0,4,30,2.313333333,"['tempest/cmd/last.py', 'tempest/cmd/main.py']",FALSE,[]
openstack%2Fcinder~master~I9f69ec2145e56d413392e47774f61e73399737f6,628874,https://review.opendev.org/628874,cinder,43:27.0,01:53.0,ABANDONED,Delete the duplicate words in  cinder.po,Delete the duplicate words in  cinder.po,1,6,1,1,1,0,8,40,1.307222222,['cinder/locale/zh_TW/LC_MESSAGES/cinder.po'],FALSE,[]
openstack%2Fsolum~master~I6a98546a2ef2590909661a7e54c8520f7e42bd1e,501969,https://review.opendev.org/501969,solum,37:15.0,41:09.0,ABANDONED,Using rootwrap for build-lp,Using rootwrap for build-lp,3,1,14,3,3,0,10,27,11665.065,"['devstack/plugin.sh', 'etc/solum/rootwrap.d/solum.filters', 'solum/worker/handlers/shell.py']",FALSE,[]
openstack%2Fnova~master~I1614eae02d62aeab6936932bcdb15e893afa21aa,628175,https://review.opendev.org/628175,nova,28:42.0,29:09.0,ABANDONED,Rename method _gather_port_ids_and_networks to _get_cached_network_info,Rename method _gather_port_ids_and_networks to _get_cached_network_info,1,13,17,17,2,0,15,71,90.0075,"['nova/network/neutronv2/api.py', 'nova/tests/unit/network/test_neutronv2.py']",FALSE,[]
openstack%2Fironic~master~I2f20f13c9b3d92962db808fb8f1ffa2840f42334,625659,https://review.opendev.org/625659,ironic,45:57.0,06:06.0,ABANDONED,Fixing Redfish inspection,Fixing Redfish inspection,4,12,110,54,6,9,40,25,494.3358333,"['ironic/drivers/modules/inspect_utils.py', 'ironic/drivers/modules/redfish/inspect.py', 'ironic/tests/unit/drivers/modules/redfish/test_inspect.py', 'ironic/tests/unit/drivers/modules/test_inspect_utils.py', 'ironic/tests/unit/drivers/third_party_driver_mock_specs.py', 'ironic/tests/unit/drivers/third_party_driver_mocks.py']",FALSE,[]
openstack%2Fmonasca-analytics~master~Ida186d3a556bbe58d1806cd50a60b90b3a8344d8,627757,https://review.opendev.org/627757,monasca-analytics,59:16.0,32:07.0,ABANDONED,Pin scipy version less than 1.2.0,Pin scipy version less than 1.2.06,2,4,1,1,1,0,7,34,216.5475,['requirements.txt'],FALSE,[]
openstack%2Fmagnum-tempest-plugin~master~I455df933f0ef8da10c673a878b69e1c6bc7f7e20,613859,https://review.opendev.org/613859,magnum-tempest-plugin,28:54.0,35:15.0,ABANDONED,[Trivial Fix] update home-page url,[Trivial Fix] update home-page url,1,2,1,1,1,0,3,34,1674.105833,['setup.cfg'],FALSE,[]
openstack%2Ftelemetry-tempest-plugin~master~Iefff0dbb7b6380661d614ddfd6ff8dda8888c5fe,613852,https://review.opendev.org/613852,telemetry-tempest-plugin,12:56.0,35:07.0,ABANDONED,[Trivial Fix] update home-page url,[Trivial Fix] update home-page url,1,2,1,1,1,0,3,34,1674.369722,['setup.cfg'],FALSE,[]
openstack%2Fopenstack-ansible-lxc_hosts~master~I13bfa1357ca067e31d4b12f48fd28751a6e492d5,613839,https://review.opendev.org/613839,openstack-ansible-lxc_hosts,33:00.0,34:59.0,ABANDONED,"[Trivial Fix] Update the typo ""dont"" to ""don't""","[Trivial Fix] Update the typo ""dont"" to ""don't""",1,4,1,1,1,0,4,47,1676.033056,['handlers/main.yml'],FALSE,['handlers/main.yml']
openstack%2Fopenstack-ansible-os_neutron~master~Id8537f8e73d2f351dce3b4bb264ff3e9a10c8e7f,605899,https://review.opendev.org/605899,openstack-ansible-os_neutron,19:00.0,34:53.0,ABANDONED,[Trivial Fix] Replace Chinese punctuation with English punctuation,[Trivial Fix] Replace Chinese punctuation with English punctuation,1,2,1,1,1,0,7,66,2425.264722,['doc/source/app-nuage.rst'],FALSE,[]
